0,1,2,3,4,5,6
2,0,2,35,59,2,0
0,0,1,1,96,2,0
1,1,0,87,11,0,0
0,0,0,0,80,0,20
0,2,0,1,39,0,58
0,0,88,2,1,1,8
0,1,0,37,62,0,0
32,0,0,2,66,0,0
1,0,5,0,93,0,1
0,0,0,0,99,1,0
0,0,0,0,96,0,4
0,0,2,3,94,0,1
0,0,0,0,100,0,0
2,88,0,2,8,0,0
1,0,0,17,81,1,0
0,0,1,0,55,0,44
0,0,0,0,83,5,12
0,0,11,10,66,12,1
0,0,0,0,100,0,0
1,0,0,0,68,1,30
0,0,0,34,66,0,0
2,0,0,3,95,0,0
0,0,2,0,19,0,79
1,45,1,35,18,0,0
0,0,6,0,35,0,59
0,1,77,5,17,0,0
0,0,1,0,30,67,2
0,0,0,0,92,0,8
0,0,0,0,88,0,12
0,0,0,0,100,0,0
0,0,0,45,51,3,1
0,1,0,0,42,0,57
0,0,0,6,94,0,0
12,0,1,0,87,0,0
0,0,1,41,58,0,0
0,0,11,4,61,4,20
0,0,1,0,0,0,99
0,0,0,0,5,0,95
0,0,0,28,72,0,0
0,0,0,13,87,0,0
0,0,45,0,54,0,1
0,0,0,14,86,0,0
1,0,3,12,84,0,0
6,0,0,0,60,0,34
0,0,1,0,98,0,1
0,0,0,99,1,0,0
9,1,0,1,85,0,4
0,0,0,2,90,2,6
0,0,1,21,65,11,2
39,12,0,7,42,0,0
8,0,0,2,90,0,0
7,0,0,3,79,11,0
0,0,6,21,63,9,1
0,0,0,4,83,13,0
4,0,0,5,89,0,2
1,0,0,2,90,0,7
3,0,0,3,89,0,5
0,0,7,11,81,0,1
0,0,0,1,96,0,3
17,0,0,4,79,0,0
0,0,0,1,1,98,0
0,0,4,17,31,48,0
5,0,0,6,76,13,0
0,0,3,17,79,1,0
0,0,1,98,1,0,0
0,0,1,24,74,0,1
0,0,0,5,48,47,0
4,62,0,0,20,0,14
0,0,0,23,77,0,0
2,0,1,2,93,0,2
1,0,1,16,20,60,2
0,35,0,58,0,7,0
0,0,1,20,78,0,1
0,0,0,28,15,57,0
4,0,1,0,90,0,5
0,0,0,1,98,0,1
0,0,0,21,28,51,0
7,0,0,1,90,2,0
4,0,0,0,96,0,0
0,0,1,0,3,0,96
1,0,0,8,90,0,1
0,1,9,0,81,0,9
16,0,0,12,72,0,0
5,0,0,10,80,2,3
6,12,0,2,80,0,0
7,83,0,1,9,0,0
0,2,22,16,55,2,3
0,0,23,2,38,16,21
2,0,1,6,89,0,2
37,0,0,47,14,0,2
3,0,0,8,89,0,0
0,0,0,1,95,0,4
1,0,0,16,74,9,0
0,0,0,1,99,0,0
0,0,0,2,98,0,0
0,0,7,45,47,1,0
2,0,0,5,74,2,17
0,0,0,9,88,3,0
0,0,0,3,96,1,0
3,0,0,4,93,0,0
